Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: C:\LANL\SF7.EXE
SF.INI file: c:\USER\SHISHLO\SNS_Physics\Cavities_Filed_Calculations\MEBT\sfish\SF.INI  4-04-2003  16:43:54
Solution file C:\USER\SHISHLO\SNS_PHYSICS\CAVITIES_FILED_CALCULATIONS\MEBT\SFISH\SFIN-1_8CM.T35.
Memory used for SFIN-1_8CM.T35 arrays:     752.388 K
Reading keyword commands and data from file:
C:\USER\SHISHLO\SNS_PHYSICS\CAVITIES_FILED_CALCULATIONS\MEBT\SFISH\SFIN-1_8CM.IN7

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (0.0,0.0)
(Zmax,Rmax) = (5.048,1.8)
Z and R increments:   200    50

      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
   0.00000       0.00000      3.194619E+00  0.000000E+00  3.194619E+00  0.000000E+00
  2.524000E-02   0.00000      3.193861E+00  0.000000E+00  3.193861E+00  0.000000E+00
  5.048000E-02   0.00000      3.191586E+00  0.000000E+00  3.191586E+00  0.000000E+00
  7.572000E-02   0.00000      3.187795E+00  0.000000E+00  3.187795E+00  0.000000E+00
  0.100960       0.00000      3.182935E+00  0.000000E+00  3.182935E+00  0.000000E+00
  0.126200       0.00000      3.176186E+00  0.000000E+00  3.176186E+00  0.000000E+00
  0.151440       0.00000      3.167936E+00  0.000000E+00  3.167936E+00  0.000000E+00
  0.176680       0.00000      3.158186E+00  0.000000E+00  3.158186E+00  0.000000E+00
  0.201920       0.00000      3.146746E+00  0.000000E+00  3.146746E+00  0.000000E+00
  0.227160       0.00000      3.134031E+00  0.000000E+00  3.134031E+00  0.000000E+00
  0.252400       0.00000      3.119913E+00  0.000000E+00  3.119913E+00  0.000000E+00
  0.277640       0.00000      3.104392E+00  0.000000E+00  3.104392E+00  0.000000E+00
  0.302880       0.00000      3.088950E+00  0.000000E+00  3.088950E+00  0.000000E+00
  0.328120       0.00000      3.070632E+00  0.000000E+00  3.070632E+00  0.000000E+00
  0.353360       0.00000      3.051010E+00  0.000000E+00  3.051010E+00  0.000000E+00
