z  S0.1  S0.3  S0.5  S0.8  S1.0  S2.0  S3.0
 -0.984375             0    0.00035704     0.0068791      0.014322      0.015501      0.015711      0.015515
 -0.953125             0    0.00038038     0.0067876      0.014347       0.01542      0.015656      0.015773
 -0.921875             0    0.00044845     0.0068786      0.014405      0.015411      0.015456      0.015792
 -0.890625             0    0.00054211     0.0072216      0.014317      0.015262      0.015417       0.01561
 -0.859375             0    0.00071854     0.0074744      0.014449      0.015349      0.015684      0.015643
 -0.828125             0    0.00095246     0.0078405      0.014569      0.015362      0.015663      0.015667
 -0.796875             0     0.0012331      0.008296       0.01451      0.015378      0.015708      0.015681
 -0.765625             0     0.0016476     0.0088522      0.014615        0.0154      0.015536      0.015706
 -0.734375             0      0.002124     0.0093745      0.014704      0.015484      0.015707      0.015586
 -0.703125             0     0.0027433       0.01008      0.014782      0.015417      0.015766      0.015664
 -0.671875             0     0.0034719      0.010832       0.01507      0.015556      0.015616       0.01562
 -0.640625             0     0.0042473      0.011569      0.015094      0.015562      0.015572      0.015709
 -0.609375             0     0.0053283      0.012325      0.015179      0.015683      0.015609      0.015736
 -0.578125             0     0.0064883      0.013061      0.015308      0.015535      0.015746      0.015604
 -0.546875    1.6281e-13     0.0079663      0.014047      0.015381      0.015643      0.015753      0.015585
 -0.515625    6.6137e-07     0.0095488      0.015015      0.015665      0.015564      0.015514      0.015545
 -0.484375    1.5046e-06      0.011341      0.015897      0.015667      0.015612      0.015599      0.015608
 -0.453125    5.8644e-06      0.013378       0.01672      0.015871       0.01559      0.015681      0.015667
 -0.421875    2.6083e-05      0.015494      0.017685      0.016084      0.015586      0.015639      0.015646
 -0.390625    7.5454e-05      0.017848      0.018472      0.016159      0.015743      0.015656       0.01567
 -0.359375    0.00021855      0.020259      0.019229       0.01625      0.015821      0.015698      0.015666
 -0.328125    0.00065934      0.022825      0.020131      0.016398      0.015952      0.015677      0.015673
 -0.296875     0.0016822      0.025403      0.020861      0.016365      0.015849      0.015681      0.015721
 -0.265625     0.0038694      0.028059      0.021681       0.01645      0.015887       0.01567      0.015711
 -0.234375     0.0084456      0.030703      0.022342       0.01665      0.015848      0.015582       0.01551
 -0.203125      0.016557      0.032818      0.022726      0.016687      0.015872      0.015751      0.015582
 -0.171875      0.029236      0.035125      0.023633      0.016661      0.015882      0.015667      0.015722
 -0.140625      0.046973      0.037229      0.024104      0.016828      0.015831       0.01567      0.015529
 -0.109375      0.068499      0.039026       0.02438      0.016895      0.015845      0.015596       0.01551
 -0.078125       0.09127      0.040175      0.024558      0.016941      0.015996       0.01575      0.015601
 -0.046875       0.11058      0.041049      0.024816      0.016841      0.015894      0.015777      0.015544
 -0.015625       0.12163      0.041535      0.024892      0.016919      0.015837      0.015682       0.01556
 0.015625       0.12179        0.0414      0.025015      0.016921      0.015663      0.015598      0.015668
 0.046875       0.11068      0.041043      0.024868      0.016989      0.015727      0.015595      0.015684
 0.078125       0.09137      0.040185      0.024475       0.01688      0.015852      0.015713      0.015649
 0.109375      0.068891      0.039016      0.024366      0.016737      0.015924      0.015688      0.015626
 0.140625      0.046856      0.037003      0.024145      0.016719      0.015928      0.015683      0.015616
 0.171875      0.029144       0.03509      0.023571      0.016804      0.016066      0.015635      0.015798
 0.203125      0.016456      0.032943         0.023      0.016785      0.015849      0.015501      0.015642
 0.234375     0.0085316      0.030502       0.02256      0.016564      0.015639      0.015304      0.015466
 0.265625     0.0039294      0.028069       0.02176      0.016416      0.015651      0.015564      0.015405
 0.296875     0.0016412      0.025588      0.021047      0.016461      0.015788      0.015503      0.015529
 0.328125    0.00064844       0.02298      0.020348      0.016326      0.015691      0.015417       0.01559
 0.359375    0.00022387      0.020316      0.019322      0.016123      0.015858      0.015623      0.015546
 0.390625    7.0489e-05      0.017642      0.018508      0.016097      0.015841      0.015621      0.015541
 0.421875    2.1237e-05      0.015382      0.017633      0.016041      0.015786      0.015729      0.015587
 0.453125    7.2074e-06      0.013126      0.016876       0.01583      0.015637      0.015681      0.015615
 0.484375    1.9166e-06      0.011205      0.015997      0.015647      0.015635      0.015624      0.015701
 0.515625    9.1729e-07     0.0094745      0.014983      0.015544       0.01559       0.01566      0.015604
 0.546875    2.3934e-08     0.0078792      0.014046      0.015486      0.015491      0.015549      0.015638
 0.578125             0     0.0065953      0.013171      0.015301      0.015556      0.015599      0.015631
 0.609375             0     0.0053944       0.01236       0.01518      0.015612      0.015643      0.015628
 0.640625             0      0.004335      0.011623      0.015209      0.015353      0.015595      0.015797
 0.671875             0     0.0034257      0.011002      0.015054      0.015352       0.01557      0.015742
 0.703125             0     0.0026636      0.010163      0.014862      0.015593      0.015609      0.015626
 0.734375             0     0.0020723     0.0094812      0.014674      0.015499      0.015499      0.015568
 0.765625             0     0.0016277     0.0088389      0.014496      0.015493       0.01548      0.015505
 0.796875             0     0.0012525     0.0083631       0.01434      0.015417      0.015587      0.015587
 0.828125             0    0.00095958     0.0080037      0.014374      0.015394      0.015682      0.015695
 0.859375             0    0.00071745     0.0075982      0.014493      0.015366      0.015664      0.015758
 0.890625             0    0.00053799     0.0073295       0.01442      0.015335      0.015727      0.015734
 0.921875             0    0.00043043     0.0071755       0.01428      0.015184      0.015597      0.015599
 0.953125             0    0.00033989     0.0069214      0.014153      0.015342       0.01564      0.015441
 0.984375             0    0.00033809     0.0067897      0.014412      0.015318       0.01553      0.015429
