z  S0.1  S0.3  S0.5  S0.8  S1.0  S2.0  S3.0 
 -1.000000             0     0.0049192       0.15552       0.46767       0.54711        0.5536       0.55113 
 -0.968254             0     0.0076036        0.2507       0.76529       0.87613       0.89494       0.89775 
 -0.936508             0     0.0091002       0.28163        0.8536       0.97732             1             1 
 -0.904762             0      0.012214       0.28524       0.83277       0.95062       0.97471       0.98402 
 -0.873016             0      0.016053       0.29997        0.8381       0.95284       0.97232       0.97893 
 -0.841270             0      0.019861       0.31043       0.83924       0.96044       0.97228        0.9846 
 -0.809524             0      0.026298       0.32891       0.84792       0.96236        0.9732       0.97498 
 -0.777778             0      0.035126       0.34753       0.85863       0.95428       0.97067       0.97841 
 -0.746032             0      0.045559         0.368       0.86543        0.9629       0.96809        0.9773 
 -0.714286             0      0.059877       0.39766       0.86862       0.96725       0.97331       0.98445 
 -0.682540             0      0.075549       0.42942       0.86913       0.96249       0.97863        0.9797 
 -0.650794             0      0.094804       0.45729       0.88069       0.96314       0.97678       0.97238 
 -0.619048             0       0.12059       0.48971       0.88229       0.96752       0.98087       0.98185 
 -0.587302             0       0.14948       0.52053       0.89603       0.96401       0.96773       0.98059 
 -0.555556             0       0.18093       0.55788       0.90424       0.97315       0.96231       0.98425 
 -0.523810             0       0.21909       0.59242       0.90901       0.96944       0.97591       0.98345 
 -0.492063     1.714e-06       0.25996         0.624       0.91838       0.96357        0.9669       0.97033 
 -0.460317    2.6285e-05       0.30738       0.65756       0.92334       0.97533       0.97065       0.97564 
 -0.428571    9.9249e-05       0.36556       0.70145       0.92199       0.97647       0.97243       0.97688 
 -0.396825    0.00050564       0.42023       0.74893        0.9299       0.97051       0.97205       0.97578 
 -0.365079      0.001553       0.48229       0.77224       0.94727       0.96807       0.97046       0.97609 
 -0.333333     0.0042801       0.54133       0.80305       0.95474       0.98191       0.97444       0.98347 
 -0.301587        0.0115       0.60164       0.84007       0.95564        0.9791       0.96597       0.98624 
 -0.269841      0.028726       0.67259       0.86877       0.96796         0.978       0.97112       0.97758 
 -0.238095      0.063942       0.73677       0.89062       0.96946       0.97739       0.97245       0.98526 
 -0.206349       0.12792       0.79649       0.92058       0.98297       0.97723        0.9727       0.98397 
 -0.174603        0.2293       0.84967       0.94288       0.98276       0.98296       0.97753       0.98604 
 -0.142857       0.37435       0.89086       0.96167       0.98343       0.98989       0.97131       0.97583 
 -0.111111       0.55558         0.934       0.97129       0.98449             1       0.96539       0.97992 
 -0.079365       0.74451        0.9712       0.98742       0.99161       0.99356       0.97209       0.98248 
 -0.047619       0.90698       0.99165             1        0.9948       0.98298       0.97971       0.98063 
 -0.015873       0.99939             1       0.99233             1       0.98372       0.97788       0.98954 
 0.015873             1       0.99971       0.99681       0.99126       0.98736       0.97795       0.98824 
 0.047619       0.90594        0.9913        0.9943       0.98153       0.99375       0.96988       0.97338 
 0.079365       0.74283       0.97078       0.98854       0.99188       0.99201       0.96083       0.97662 
 0.111111       0.55267       0.93966          0.98       0.99055       0.98731       0.95941       0.98237 
 0.142857       0.37448       0.89321       0.96624       0.99078        0.9784       0.96784       0.97699 
 0.174603       0.22826       0.84602       0.94903       0.98505       0.98666       0.96952       0.97314 
 0.206349       0.12731       0.79306       0.93048       0.98782       0.98335       0.97052       0.97883 
 0.238095      0.063923        0.7343       0.89933       0.97881        0.9773       0.96136       0.98591 
 0.269841      0.028692       0.67263       0.87107       0.95857       0.98011       0.96624        0.9861 
 0.301587      0.011987       0.60439       0.83562       0.95983        0.9778       0.97214       0.98237 
 0.333333     0.0044999       0.54189       0.80748       0.95692       0.97285       0.97369       0.98535 
 0.365079     0.0015215       0.48206       0.77659       0.95338       0.98309        0.9718       0.99036 
 0.396825    0.00049362       0.41876       0.73394       0.94439       0.97368       0.97228       0.98518 
 0.428571    0.00013841        0.3634       0.69569       0.93539       0.97173       0.97126       0.97275 
 0.460317     3.536e-05       0.30937       0.66327       0.92564       0.97685       0.97532       0.97019 
 0.492063    2.1366e-05       0.26084        0.6323       0.91484       0.96516       0.97651       0.97129 
 0.523810    7.3512e-07       0.21917       0.59338       0.90833       0.96659       0.98195       0.97324 
 0.555556             0       0.18043       0.55543       0.90958       0.96974       0.97316       0.97545 
 0.587302             0       0.14742       0.51786        0.9024       0.95841       0.97939       0.97383 
 0.619048             0       0.12106        0.4856       0.88641       0.96225       0.97866       0.97477 
 0.650794             0      0.095364       0.45915       0.88487        0.9669       0.97035       0.96903 
 0.682540             0      0.074667       0.42862       0.88397       0.95833       0.96017       0.97162 
 0.714286             0      0.060387       0.39557       0.87427       0.96615       0.96766       0.96764 
 0.746032             0      0.046522       0.37004        0.8616       0.96619        0.9782        0.9686 
 0.777778             0      0.034817       0.35206       0.86165       0.96616       0.97961       0.98172 
 0.809524             0       0.02733       0.33094       0.86146       0.96107       0.97406        0.9776 
 0.841270             0      0.020312       0.31125       0.84441       0.96003       0.97441       0.96774 
 0.873016             0      0.015323       0.29959       0.83688       0.95917       0.97032       0.97135 
 0.904762             0      0.011717       0.28778       0.83564       0.96188       0.96637       0.96856 
 0.936508             0      0.010003       0.28304       0.86293       0.97256       0.98446       0.99783 
 0.968254             0     0.0078219       0.24969       0.76726       0.87104       0.88622       0.90186 
 1.000000             0     0.0046442       0.15451       0.47735        0.5333       0.54225       0.54501 
